row;ic;ic_id;ic_member;ic_member_id;;
101;Making Room - Women and Architecture;50010;Rock, Cynthia;70090;;
102;Making Room - Women and Architecture;50010;Torre, Susana;70091;;
103;Making Room - Women and Architecture;50010;Weisman, Leslie Kanes;70092;;
104;Sex Issue;50011;Alderfer, Hannah;70093;;
105;Sex Issue;50011;De Sando, Sandra;70094;;
106;Sex Issue;50011;Jaker, Beth;70095;;
107;Sex Issue;50011;Kenny, Kay;70096;;
108;Sex Issue;50011;Kessler, Suzanne;70097;;
109;Sex Issue;50011;McKenna, Wendy;70098;;
110;Sex Issue;50011;Nelson, Marybeth;70099;;
111;Sex Issue;50011;Serlis, Effie M.;70100;;
112;Sex Issue;50011;Vitale, Sylvia Witts;70101;;
113;Sex Issue;50011;Wolfe, Leanna;70102;;
114;Sex Issue;50011;Webster, Paula;70062;;
115;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Fuerst, Shirley;70103;;
116;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Gellis, Sandy;70104;;
117;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Janto, Phyllis;70105;;
118;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Jenkins, Sarah;70106;;
119;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Lanyon, Ellen;70107;;
120;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Logemann, Jane;70108;;
121;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Mendieta, Ana;70109;;
122;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Moore, Sabra;70110;;
123;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Peer, Linda;70111;;
124;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Temkin, Merle;70112;;
125;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Blumenthal, Lyn;70064;;
126;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Culbertson, Janet;70043;;
127;Earthkeeping/Earthshaking: Feminism & Ecology;50012;Lippard, Lucy;70004;;
128;The Women´s Pages;50013;Blumenthal, Lyn;70064;;
129;The Women´s Pages;50013;Cajori, Marion;70079;;
130;The Women´s Pages;50013;Carr, Cynthia;70022;;
131;The Women´s Pages;50013;De Sando, Sandra;70094;;
132;The Women´s Pages;50013;Heinemann, Sue;70010;;
133;The Women´s Pages;50013;Hess, Elizabeth;70002;;
134;The Women´s Pages;50013;Ladden, Arlene;70003;;
135;The Women´s Pages;50013;Lippard, Lucy R. ;70004;;
136;The Women´s Pages;50013;Rickey, Carrie;70036;;
137;Racism is the Issue;50014;Browne, Vivian E.;70114;;
138;Racism is the Issue;50014;Carr, Cynthia;70022;;
139;Racism is the Issue;50014;Godwin, Michele;70115;;
140;Racism is the Issue;50014;Gossett, Hattie;70116;;
141;Racism is the Issue;50014;Gregory, Carole;70117;;
142;Racism is the Issue;50014;Heinemann, Sue;70010;;
143;Racism is the Issue;50014;Lippard, Lucy R.;70004;;
144;Racism is the Issue;50014;Stevens, May;70005;;
145;Racism is the Issue;50014;Vicuna, Cecilia;70118;;
146;Racism is the Issue;50014;Vitale, Sylvia Witts;70101;;
147;Film / Video / Media;50015;Agosta, Diana;70119;;
148;Film / Video / Media;50015;Becker, Edith;70120;;
149;Film / Video / Media;50015;Campbell, Loretta;70121;;
150;Film / Video / Media;50015;Cartwright, Lisa;70122;;
151;Film / Video / Media;50015;Goldson, Annie;70123;;
152;Film / Video / Media;50015;Friedrich, Su;70027;;
153;Film / Video / Media;50015;Jubela, Joan;70124;;
154;Film / Video / Media;50015;Lindeman, Nicky;70125;;
155;Film / Video / Media;50015;Osborn, Barbara;70126;;
156;Acting Up!: Women in Theater and Performance;50016;Allen, Jaqueline;70127;;
157;Acting Up!: Women in Theater and Performance;50016;Champagne, Lenora;70128;;
158;Acting Up!: Women in Theater and Performance;50016;Coss, Clare;70129;;
159;Acting Up!: Women in Theater and Performance;50016;Griffith, Lois;70130;;
160;Acting Up!: Women in Theater and Performance;50016;Hartinian, Linda;70131;;
161;Acting Up!: Women in Theater and Performance;50016;Heinemann, Sue;70010;;
162;Acting Up!: Women in Theater and Performance;50016;Jones, Patricia;70132;;
163;Acting Up!: Women in Theater and Performance;50016;Percal, Malka;70133;;
