row;referenced_author;referenced_author_id;referenced_work_id;referenced_source_id
1313;Lowder, Rose;30284;40287;0
1314;Dulac, Germaine;30285;40288;60106
1315;Oakley, Ann;30286;40289;0
1316;Guy, Alice;30259;40290;0
1317;Guy, Alice;30259;40291;60092
1318;Dulac, Germaine;30285;40292;60106
1319;MacKintosh, Helen;30287;40293;0
1320;James, P. D.;30288;40294;0
1321;Stein, Gertrude;30289;40295;60107
1322;Kirby, Michael;30678;40678;60212
1323;Rainer, Yvonne;30679;40679;60213
1324;Schneemann, Carolee;30679;40680;0
1325;no name;30680;40681;60214
1326;no name;30681;40682;0
1327;no name;30682;40683;60215
1328;Lynd, Helen;30683;40684;0
1329;Lynd, Robert;30684;40684;0
1330;Venturi, Robert;30685;40685;0
1331;Scott Brown, Denise;30686;40685;0
1332;Izenour, Steven;30687;40685;0
1333;Williams, Raymond;30688;40686;0
1334;Gever, Martha;30689;40687;60216
1335;Modleski, Tania;30690;40688;0
1336;Browne, Nick;30691;40689;60217
1337;Lynd, Robert;30684;40690;60218
1338;Hanson, Alice C.;30692;40690;60218
1339;Montgomery, David;30693;40691;0
1340;Hayden, Dolores;30694;40692;60219
1341;Schwartz Cowan, Ruth;30695;40693;60220
1342;Schwartz Cowan, Ruth;30695;40694;0
1343;Winslow Taylor, Frederick;30696;40695;0
1344;Gilbreth, Lilian;30697;40696;0
1345;McHenry, Murphy;30758;40757;60239
1346;Association of National Advertisers;30759;40758;0
1347;Lowenthal, Leo;30760;40759;60240
1348;Barthes, Roland;30761;40760;0
1349;Bérubé, Alan;30762;40761;60241
1350;Archibald, Katherine;30763;40762;0
1351;Anderson, Karen;30764;40763;0
1352;Honey, Maureen;30765;40764;60242
1353;Hoare, Quintin;30766;40765;0
1354;Nowell-Smith, Geoffrey;30767;40765;0
1355;Dyer, Richard;30768;40766;60243
1356;Lake, Veronica;30769;40767;60244
1357;Radway, Janice;30770;40768;0
1358;Radway, Janice;30770;40769;60245
1359;Light, Alison;30771;40770;60246
1360;Rainwater, Lee;30772;40771;0
1361;Lovell, Terry;30773;40772;60247
